Wavelength,SPD
730,0.0765870269509
731,0.0738429305939
732,0.0724687260782
733,0.0709414432785
734,0.0680239397144
735,0.0664864926959
736,0.0648386642326
737,0.0641645312712
738,0.0622084416865
739,0.0606001041647
740,0.0593322278782
741,0.0572113388518
742,0.0551860989673
743,0.0544279469623
744,0.0520694451992
745,0.0499972734412
746,0.0486421268366
747,0.047394820622
748,0.0467383842271
749,0.0455663855387
750,0.0439295683128
751,0.0424039793082
752,0.0412886535034
753,0.0403484286989
754,0.0389425385814
755,0.0383461631429
756,0.0376880327117
757,0.036001742016
758,0.0348280492912
759,0.0341758479876
760,0.0339850771489
761,0.0328735629256
762,0.0312443686223
763,0.0304762804974
764,0.0299412365426
765,0.0290086349029
766,0.0284139537429
767,0.0275934275843
768,0.0259633862624
769,0.0258978196884
770,0.0251276137751
771,0.02454055578
772,0.0235525515429
773,0.0228436773556
774,0.0225395605082
775,0.0222392552433
776,0.0208481877036
777,0.0209500989649
778,0.0205931208173
779,0.0203511824714
780,0.0202251314312
